Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
168000,2.080336,20.02127659574468,-2.5904548,-3.7502010982969534,-3.7502010982969534,1.0
169000,2.0849504,21.166666666666668,-2.4243586,-3.6386836430965324,-3.6386836430965324,1.0
170000,2.0798068,21.90909090909091,-2.593221,-3.9756430926777067,-3.9756430926777067,1.0
171000,2.0936239,19.46511627906977,-2.5695617,-3.781529609547105,-3.781529609547105,1.0
172000,2.0881202,20.289473684210527,-2.6118011,-4.254023812319103,-4.254023812319103,1.0
173000,2.076517,17.8,-2.5677876,-3.7367731701760065,-3.7367731701760065,1.0
174000,2.0761874,28.583333333333332,-2.3745697,-3.448512887253481,-3.448512887253481,1.0
175000,2.089748,19.069767441860463,-2.6014478,-4.0532160027082575,-4.0532160027082575,1.0
176000,2.0785007,19.953488372093023,-2.5045645,-4.105814942291805,-4.105814942291805,1.0
177000,2.076421,17.842105263157894,-2.5002713,-4.388908756406684,-4.388908756406684,1.0
178000,2.0864558,22.19047619047619,-2.4413488,-3.7685919011181053,-3.7685919011181053,1.0
179000,2.083442,35.921052631578945,-2.377973,-3.4149324797295235,-3.4149324797295235,1.0
180000,2.0926635,42.06666666666667,-2.5582588,-2.666323850984159,-2.666323850984159,1.0
181000,2.0949662,25.307692307692307,-2.2928803,-3.7557211831996313,-3.7557211831996313,1.0
182000,2.0926893,23.47826086956522,-2.5242171,-3.7680185794830323,-3.7680185794830323,1.0
183000,2.1041167,25.451612903225808,-2.2041757,-3.928967106868239,-3.928967106868239,1.0
184000,2.0935056,21.58,-2.4627063,-3.60495933269461,-3.60495933269461,1.0
185000,2.0962932,19.88888888888889,-2.5315194,-3.716478238935056,-3.716478238935056,1.0
186000,2.0737925,23.27906976744186,-2.5101779,-4.243127189031461,-4.243127189031461,1.0
187000,2.0749302,24.025,-2.4038436,-3.9148816721779958,-3.9148816721779958,1.0
188000,2.062158,18.980392156862745,-2.5157275,-3.8476153799131807,-3.8476153799131807,1.0
189000,2.0616615,20.7,-2.4381897,-4.223519129188437,-4.223519129188437,1.0
190000,2.0710113,20.622222222222224,-2.588261,-3.837426965651305,-3.837426965651305,1.0
191000,2.07539,18.65,-2.4611812,-3.4980124958923886,-3.4980124958923886,1.0
192000,2.0677269,26.463414634146343,-2.3258586,-3.4259857002057528,-3.4259857002057528,1.0
